date,best buy stock,bby
2022-06-17,100,60
2022-06-18,85,49
2022-06-19,76,78
2022-06-20,66,62
2022-06-21,96,73
2022-06-22,88,69
2022-06-23,85,90
2022-06-24,73,62
2022-06-25,70,59
2022-06-26,67,72
2022-06-27,78,58
2022-06-28,77,49
2022-06-29,86,84
2022-06-30,99,81
2022-07-01,87,56
2022-07-02,80,61
2022-07-03,55,75
2022-07-04,63,54
2022-07-05,80,56
2022-07-06,81,62
2022-07-07,93,80
2022-07-08,85,68
2022-07-09,67,56
2022-07-10,57,65
2022-07-11,98,58
2022-07-12,90,66
2022-07-13,100,59
2022-07-14,93,58
2022-07-15,89,72
2022-07-16,72,53
