date,best buy stock,bby
2022-08-04,43,33
2022-08-05,44,40
2022-08-06,38,32
2022-08-07,34,27
2022-08-08,57,73
2022-08-09,49,41
2022-08-10,53,40
2022-08-11,51,36
2022-08-12,54,44
2022-08-13,33,36
2022-08-14,36,29
2022-08-15,48,46
2022-08-16,49,100
2022-08-17,51,98
2022-08-18,50,90
2022-08-19,49,82
2022-08-20,33,44
2022-08-21,35,34
2022-08-22,45,55
2022-08-23,47,38
2022-08-24,41,39
2022-08-25,43,36
2022-08-26,52,29
2022-08-27,28,34
2022-08-28,31,26
2022-08-29,43,42
2022-08-30,58,76
2022-08-31,47,58
2022-09-01,51,40
2022-09-02,38,34
