date,best buy stock,bby
2024-05-26,39,41
2024-05-27,46,49
2024-05-28,68,56
2024-05-29,73,54
2024-05-30,95,100
2024-05-31,64,62
2024-06-01,49,46
2024-06-02,55,65
2024-06-03,79,57
2024-06-04,85,57
2024-06-05,82,72
2024-06-06,91,55
2024-06-07,96,55
2024-06-08,51,64
2024-06-09,47,63
2024-06-10,86,55
2024-06-11,79,49
2024-06-12,86,55
2024-06-13,81,64
2024-06-14,95,55
2024-06-15,50,45
2024-06-16,49,54
2024-06-17,65,76
2024-06-18,86,76
2024-06-19,67,69
2024-06-20,84,75
2024-06-21,78,52
2024-06-22,53,51
2024-06-23,39,58
2024-06-24,62,60
