date,best buy stock,bby
2024-04-22,80,61
2024-04-23,74,52
2024-04-24,70,56
2024-04-25,84,67
2024-04-26,69,48
2024-04-27,54,58
2024-04-28,49,45
2024-04-29,71,53
2024-04-30,78,57
2024-05-01,75,63
2024-05-02,55,64
2024-05-03,74,61
2024-05-04,48,58
2024-05-05,48,62
2024-05-06,72,55
2024-05-07,86,62
2024-05-08,76,61
2024-05-09,71,57
2024-05-10,65,70
2024-05-11,44,64
2024-05-12,40,53
2024-05-13,74,68
2024-05-14,100,64
2024-05-15,93,63
2024-05-16,85,51
2024-05-17,100,50
2024-05-18,55,61
2024-05-19,56,48
2024-05-20,78,43
2024-05-21,81,59
