date,best buy stock,bby
2023-07-07,86,70
2023-07-08,68,70
2023-07-09,57,60
2023-07-10,69,53
2023-07-11,96,71
2023-07-12,75,54
2023-07-13,88,65
2023-07-14,94,67
2023-07-15,71,72
2023-07-16,61,55
2023-07-17,90,56
2023-07-18,92,73
2023-07-19,100,70
2023-07-20,81,61
2023-07-21,80,65
2023-07-22,53,49
2023-07-23,61,77
2023-07-24,59,65
2023-07-25,96,73
2023-07-26,71,67
2023-07-27,70,53
2023-07-28,77,58
2023-07-29,80,58
2023-07-30,63,53
2023-07-31,78,59
2023-08-01,90,69
2023-08-02,72,64
2023-08-03,78,60
2023-08-04,91,50
2023-08-05,58,42
