date,best buy stock,bby
2021-01-10,27,8
2021-01-11,33,9
2021-01-12,32,10
2021-01-13,33,10
2021-01-14,33,9
2021-01-15,31,8
2021-01-16,23,7
2021-01-17,21,7
2021-01-18,22,6
2021-01-19,27,8
2021-01-20,30,8
2021-01-21,28,8
2021-01-22,30,9
2021-01-23,25,7
2021-01-24,22,9
2021-01-25,33,12
2021-01-26,36,13
2021-01-27,61,21
2021-01-28,94,19
2021-01-29,100,15
2021-01-30,51,10
2021-01-31,41,8
2021-02-01,55,12
2021-02-02,50,10
2021-02-03,47,7
2021-02-04,44,9
2021-02-05,42,8
2021-02-06,30,8
2021-02-07,27,7
2021-02-08,36,8
